Week,Monday Miles,Tuesday Miles,Wednesday Miles,Thursday Miles,Average number of miles,Days-Week 1,Miles-Week 1,Days-Week 2,Miles-Week 2,Days-Week 3,Miles-Week 3,Days-Week 4,Miles-Week 4
Week 1,30,56,28,34,37,Monday,30,Monday,58,Monday,28,Monday,33
Week 2,58,16,11,36,30.25,Tuesday,56,Tuesday,16,Tuesday,18,Tuesday,10
Week 3,28,18,16,41,25.75,Wednesday,28,Wednesday,11,Wednesday,16,Wednesday,40
Week 4,33,10,40,30,28.25,Thursday,34,Thursday,34,Thursday,41,Thursday,30
Week 5,42,31,55,19,36.75,,,,,,,,
Week 6,17,38,52,17,31,,,,,,,,
Week 7,56,33,48,46,45.75,,,,,,,,
Week 8,54,30,49,51,46,,,,,,,,
Week 9,27,37,27,37,32,,,,,,,,
Week 10,53,16,39,24,33,,,,,,,,
Week 11,60,36,27,35,39.5,,,,,,,,
